bn:00041942n	grupo agrupación colectivo
bn:00078931n	organización_de_las_naciones_unidas naciones_unidas onu o.n.u. united_nations organizacion_de_las_naciones_unidas nn._uu. un uno 🇺🇳 comunidad_mundial nn.uu. o.n.u o_n.u o_n.u. o_n_u o_n_u. oficina_de_coordinacion_de_ayuda_humanitaria oficina_de_coordinación_de_ayuda_humanitaria operaciones_de_mantenimiento_de_la_paz organizacion_de_naciones_unidas organizacion_mundial_de_las_naciones_unidas organización_de_naciones_unidas organización_mundial_de_las_naciones_unidas sistema_de_las_naciones_unidas u.n
bn:00029665n	comisión_económica_para_américa_latina_y_el_caribe comisión_económica_para_américa_latina cepal eclac comision_economica_para_america_latina_y_el_caribe comision_economica_para_américa_latina_y_el_caribe comision_económica_para_america_latina_y_el_caribe comision_económica_para_américa_latina_y_el_caribe comisión_económica_para_america_latina_y_el_caribe comision_economica_para_america_latina comision_economica_para_américa_latina comision_económica_para_america_latina comision_económica_para_américa_latina comisión_económica_de_las_naciones_unidas_para_américa_latina_y_el_caribe comisión_económica_para_america_latina
bn:00064767n	
bn:00046157n	pobreza empobrecimiento inopia miseria pauperismo desabrigo pobretería bajos_ingresos pobres empobrecedor empobrecer pobre pobreza_severa indigentes pobreza_global pobreza_relativa pobreza_urbana pobreza_voluntaria tasa_de_pobreza voto_de_pobreza
bn:00036838n	funcionalidad funcionamiento función marcha operatividad funcionando
bn:00063592n	popularidad fama
bn:00064234n	presidente presidenta presidente_de_la_república maximo_mandatario máximo_mandatario pdte pdte. presidente_de_un_estado primer_mandatario presidente_de_la_republica presidencial
bn:00070497n	sentido sensación consciencia
bn:00001557n	progreso adelanto avance
bn:00081136n	totalidad todo
bn:00048242n	problema dificultad problem lío
bn:00066996n	pariente deudo familiar parentela parienta
bn:00026695n	desarrollo expansión economía_del_desarrollo
bn:00075761n	sistema sistema_de_reglas
bn:00067239n	venezuela venezolano venezolana república_bolivariana_de_venezuela república_de_venezuela estados_unidos_de_venezuela republica_bolivariana_de_venezuela republica_de_venezuela vzla la_republica_bolivarana_de_venezuela la_republica_bolivariana_de_venezuela la_república_bolivarana_de_venezuela la_república_bolivariana_de_venezuela rb_venezuela ve 🇻🇪 republica_venezolana república_venezolana
bn:00050375n	don_de_mando liderazgo
bn:00027765n	preeminencia distinción eminencia
bn:00029708n	ecuador república_del_ecuador ec ecu republica_del_ecuador el_ecuador estado_ecuatoriano ecuatoriana ecuatoriano ecuatorianos ecuáfrica equador poblacion_de_ecuador población_de_ecuador republica_de_ecuador república_de_ecuador
bn:00028188n	república_dominicana dominican_republic república república_dominica haití_español quisqueya república_de_santo_domingo santo_domingo republica_dominicana dominicana dominicanas dominicanismo dominicano la_república_dominicana rd republica_dominica república_dominocana
bn:00057614n	nicaragua república_de_nicaragua republica_de_nicaragua nicaragüense salve_a_ti,_nicaragua estado_de_nicaragua nicaraguense nicaraguenses nicaragüenses
bn:00043361n	asistencia_sanitaria atención_médica sanidad cuidado asistencia_medica asistencia_médica atencion_medica atencion_sanitaria atención_sanitaria prestaciones_sanitarias servicios_de_asistencia_sanitaria salud atención_al_paciente atención_secundaria atención_terciaria servicios_de_salud servicios_médicos
bn:00050249n	ley
bn:00025417n	día jornada
bn:00027206n	cena comida cenar
bn:00050257n	bufete_de_abogados firma_de_abogados estudio_juridico estudio_jurídico firmas_de_abogados bufete bufete_jurídico despacho_de_abogados la_firma_de_abogados
bn:00044064n	corte_suprema tribunal_supremo corte_suprema_estatal corte_suprema_del_estado corte_suprema_de_justicia suprema_corte suprema_corte_de_justicia supremo_tribunal_de_justicia tribunal_supremo_de_justicia tribunal_de_última_instancia tribunal_superior
bn:00001736n	acontecimiento acto acto_social función ocasión suceso función_social ocasión_social
bn:00021723n	conferencia congreso grupo_de_discusión
bn:00061826n	petición demanda instancia solicitud pedido peticiones derecho_de_petición peticion peticion_por_internet peticiones_de_internet peticiones_por_internet petición_por_internet derecho_de_peticion
bn:00046920n	inspección revisión revista inspeccion
bn:00059879n	reforma renovación reformar rehabilitación remodelacion remodelación remodelar renovacion renovador renovadora renovar obra_de_reforma reurbanización
bn:00021844n	congreso_de_los_estados_unidos congreso congreso_de_estados_unidos congreso_de_eeuu congreso_de_los_ee.uu. congreso_estadounidense congreso_de_ee.uu. congreso_de_los_ee._uu. congreso_de_los_ee_uu congreso_de_los_estados_unidos_de_america congreso_de_los_estados_unidos_de_américa congreso_federal_de_los_estados_unidos congress_of_the_united_states congreso_de_los_ee.uu congreso_u_s
bn:00009086n	grito_de_guerra
bn:00000127n	hora 60_minutos h hr
bn:00053318n	marzo mar march mar.
bn:00065798n	carrera
bn:00075589n	
bn:00027207n	cena
bn:00048506n	doctrina_judicial principio_judicial doctrina doctrina_jurídica principio_legal doctrina_legal doctrina_juridica doctrinalmente doctrinas_del_derecho doctrinas_juridica doctrinas_jurídica literatura_jurídica principio_jurídico
bn:00061047n	patrocinador patrocinio colaborador mecenas patrocinadora patrón sponsors clientelismo_político clientes mecenas_de_las_artes patrocinador_principal patrocinio_corporativo patrona
bn:00034520n	resultado consecuencia resultado_final
bn:00048507n	litigio pleito litigación caso_legal disputa_legal procedimiento_judicial
bn:00003365n	washington washington_d.c. washington_d._c. distrito_de_columbia wáshington ciudad_de_washington district_of_columbia washington,_dc washington,_distrito_de_columbia washington_dc d._c. distrito_federal_de_ee._uu. el_distrito broken/id:1883665 broken/washington,_d._c. broken/washington_d._c. broken_id:1883665 broken_id_1883665 broken_washington_d._c. broken_washington_d_c columbia d.c. d_c huachinton_dc huáchinton_dc washington,_d._c. washington,_d.c washington,_d.c. washington,_d_c washington,_d_c. washington._d.c. washington_d.c washington_d_c washington_d_c. washington_dc. washingtoniana washingtoniano wáshington,_d._c. wáshington_d._c. capital_de_los_estados_unidos el_capital_norteamericano
bn:00044967n	hotel albergue industria_hotelera hoteles habitación hotel_de_paso hoteleria hotelero hotelería cadena_hotelera hotel_de_negocios hotel_económico
bn:00007013n	asistencia presencia
bn:00001582n	adversario opositor antagonista enemigo oponente adversaria contendedor contraria contrario contrincante
bn:00042090n	invitado convidado huésped
bn:00032021n	evento suceso acontecimiento
bn:00007146n	nada cero nulo nix zip nula 0 ninguno algo huevo_de_ganso nada_de_nada zippo
bn:00031707n	código_deontológico código_ético ética código_de_ética codigo_deontologico codigo_deontológico
bn:00020356n	código_de_conducta code_of_conduct codigo_de_conducta tatakelakuan
bn:00020352n	código codificación códigos código_de_la_ley código_de_leyes
bn:00015320n	canon
bn:00073170n	orador hablador verbaliser oradora verbalizador
bn:00042093n	invitado_de_honor
bn:00064648n	
bn:00064763n	propincuidad proximidad
bn:00012862n	brecha incumplimiento
bn:00046486n	indiferencia despreocupación
bn:00064233n	presidente presidenta director directora presidente_director dirigente presidentes
bn:00036850n	recaudación_de_fondos captación_de_fondos fundraising recaudacion_de_fondos captacion_de_fondos fund_raising procuración_de_fondos recaudacion recaudación recaudador_de_fondos recogida_de_fondos
bn:00005027n	aparición presentación
bn:00046077n	imparcialidad ecuanimidad equidad imparcial parcialidad impartialidad apartidismo
bn:00007026n	atención prestando_atención prestar_atención_a
bn:00023858n	criticón crítico
bn:00014139n	asunto problema
bn:00021976n	
bn:00072716n	fiscal_general solicitor_general solicitor-general fiscal_general_del_estado
bn:00001423n	administración organización administración_pública gerencia gobernanza iglesia_estatal sociedad establecimiento_de_la_religión iglesia_oficial religión_establecida religión_oficial órgano_de_gobierno
bn:00078206n	tribunal_de_primera_instancia juzgado_de_instrucción juzgado_de_primera_instancia primera_instancia
bn:00046473n	indicación indicio indicant índice
bn:00000990n	conversance conversancy
bn:00031605n	españa reino_de_españa espana espainia espanya la_madre_patria la_piel_de_toro estado_español es esp spaña 🇪🇸 espagna espan espanha espania espanola españolas estado_espanol kingdom_of_spain reino_de_espana reino_espanol reino_español spanien territorio_español
bn:00071432n	ala facción lado
bn:00023012n	costa_rica costa república_de_costa_rica cr crc costarricenses republica_de_costa_rica
bn:00022263n	demarcación línea_divisoria contraste línea
bn:00077463n	hoy
bn:00015531n	san_josé capital_de_costa_rica san_jose chepe san_josé,_costa_rica sanjo san_jose,_costa_rica san_jose_costa_rica san_jose_de_costa_rica san_josé_costa_rica san_josé_de_costa_rica
bn:00031896n	europa el_viejo_continente viejo_continente continente_europeo clima_de_europa viejo_mundo continente_de_europa europea europeas europeo europeos vegetacion_de_europa vegetación_de_europa
bn:00034737n	primera primero
bn:00066576n	
bn:00018661n	elección selección decisión escogencia escogimiento opción eleccion decisiones
bn:00060340n	panamá república_de_panamá panama panameño panamena panameno panameña panameños republica_de_panama republica_de_panamá república_de_panama
bn:00035713n	futbolista jugador_de_fútbol balompieista fútbol jugador_de_balompie jugador_de_balompié jugador_de_futbol jugadora_de_balompie jugadora_de_balompié jugadora_de_futbol jugadora_de_fútbol
bn:00030861n	inglaterra england inglesa
bn:00024417n	copa taza
bn:00021338n	competición competencia concurso competidor campeonato certamen contienda prueba adversario contendiente participante competicion competidores
bn:00011444n	conmoción disgusto golpe
bn:00032308n	experiencia
bn:00081625n	copa_del_mundo copa_mundial_de_fútbol mundial copa_mundial_de_futbol fifa_world_cup mundial_de_fútbol campeonato_mundial_de_futbol copa_del_mundo_de_futbol copa_mundial_de_balompié mundial_de_futbol fwc la_copa_del_mundo campeonato_mundial_de_fútbol copa_del_mundo_de_fútbol copa_del_mundo_de_la_fifa copa_mundial_de_fútbol_de_la_fifa copa_mundial_de_la_fifa copas_del_mundo mundial_futbol mundiales_de_futbol mundiales_de_fútbol
bn:00032306n	experiencia experiencias
bn:00005516n	área campo dominio esfera terreno ámbito órbita
bn:00041239n	nivel grado
bn:00018660n	elección selección
bn:00040851n	portero guardameta arquero golero cancerbero guardavalla posición_de_hockey_sobre_hielo portero_de_futbol portero_de_fútbol guardapalos guardavallas meta portera posicion_de_hockey_sobre_hielo atajador goalkeeper guardameta_de_emergencia netminder
bn:00013179n	londres greater_london london capital_británica gran_londres londres,_inglaterra london,_uk londres,_reino_unido londinense london,_england london_england londres_inglaterra londrés capital_del_reino_unido el_capital_británico
bn:00066577n	récord marca
bn:00053772n	encuentro partido
bn:00074678n	atacante
bn:00064204n	presencia
bn:00040847n	gol tanto
bn:00046021n	inmigración inmigrantes tasa_de_inmigracion emigrante_económico inmigracion inmigraciones inmigrante inmigrante_ecónomico migración_internacional tasa_de_inmigración emigran emigrar emigró inmigrar la_inmigración
bn:00017621n	oportunidad posibilidad chance ocasión probabilidad
bn:00021816n	congestión hacinamiento apiñamiento atasco el_hacinamiento
bn:00022026n	policía fuerzas_policiales policia fuerzas_del_orden cuerpo_de_policía fuerzas_de_seguridad agentes guardia constabularía fuerza_pública fuerzas_de_orden_público departamento_de_policía fuerza_de_policía fuerza_policial policial policías cuerpo_de_policia departamento_de_policia fuerza_de_policia policia_nacional policias policía_nacional agente_de_la_autoridad oficial_de_policia oficial_de_policía departamentos_de_policía policía_armada protección_policial
bn:00070651n	servicio prestación servicio_económico servicio_economico prestacion servicios_económicos
bn:00021322n	compatibilidad
bn:00021644n	condición circunstancias estado situación
bn:00045163n	derechos_humanos derecho_humano dd._hh. violación_de_derechos_humanos dd.hh. dd_hh ddhh declaración_de_los_derechos_del_hombre derecho_de_los_derechos_humanos derechos_de_la_persona_humana derechos_del_hombre violacion_de_los_derechos_humanos violación_de_los_derechos_humanos derechos_humanos_universales violaciónes_de_derechos_humanos
bn:00042917n	acoso hostigamiento acosamiento abuso_sexual acosar
bn:00029806n	estudiante alumna alumno pupilo educando pupila universitario discente alumnado estudiantil estudiar año estudiantes
bn:00036202n	francia república_francesa france republica_francesa v_republica_francesa estado_de_francia estado_francés francesa francés frankreich l'hexagone país_del_hexágono poblacion_de_francia población_de_francia republica_de_francia republique_francaise republique_francasaise republique_française republique_françasaise república_de_francia république_francaise république_francasaise république_française république_françasaise francés_república
bn:00075959n	talento talentoso talentosos
bn:00013057n	albañil aparejador maestro_mayor_de_obras alarife albanil albañi albañiles albañí enfoscador maestro_albañíl maestro_de_obras masón mazonero mazón albaniles aparejadores arquitectura_tecnica
bn:00070648n	camarero mesero camarera mesera garzón mesonero mesonera moza mozo camareros
bn:00063237n	punto_de_vista perspectiva visión óptica punto_de_observacion punto_de_observación punto_de_vista_filosofico punto_de_vista_filosófico punto punto_de_vista_técnico
bn:00021958n	consenso consenso_en_la_toma_de_decisiones proceso_de_consenso
bn:00050522n	izquierda izquierdas ala_izquierda izquierda_política izquierdistas política_de_izquierda tendencia_izquierdista
bn:00067810n	derecha ala_derecha derecha_política política_de_derecha
bn:00074900n	tema tópico asunto contenido materia objeto motivo propósito tema-comentario
bn:00079043n	desempleados las_personas_desempleadas
bn:00081593n	trabajador
bn:00055292n	desdicha desgracia infortunio miserableness miseria
bn:00027022n	diferencia
bn:00037691n	generosidad generosas generoso generosos generousness
bn:00030707n	invasión intrusión ocupación
bn:00072653n	territorio suelo tierra
bn:00044758n	hueste horda legión
bn:00062576n	fontanero plomero gasfitero lampista montador_de_tuberías gásfiter tubero cañero montador_de_tuberias plomero_de_astilleros fontaneros tubo_ajustador
bn:00046019n	inmigrante expatriado inmigrado inmigrantes
bn:00072566n	sociedad social sociedad_humana sociedades sociales sociedades_humanas societal
bn:00008267n	cliché tópico banalidad lugar_común perogrullada fruslería futilidad nimiedad trivialidad clisé cliche clise clichés frase_común vulgar
bn:00009717n	impresión creencia sentimiento sensación noción idea
bn:00006504n	activo baza bien recurso ventaja virtud activos
bn:00029667n	economista economistas experto_en_economía
bn:00012059n	libro libros librario
bn:00020452n	cognición conocimiento noesis saber conocer procesos_cognitivos cognicion cognitivo cognitivos conocimientos_previos procesado_de_informacion procesado_de_información procesamiento_de_la_informacion procesamiento_de_la_información proceso_cognitivo capacidad_cognitiva capacidades_cognitivas cogniciones función_cognitiva procesamiento_cognitivo
bn:00054907n	migración migración_humana migracion migracion_humana movimiento_migratorio movimientos_migratorios migrantes
bn:00028141n	mundo
bn:00036941n	futuro porvenir mañana venidero futurista futuro_próximo tiempo_para_venir
bn:00073206n	especialista specialiser specializer
bn:00035374n	corriente río torrente
bn:00029416n	salario remuneración sueldo retribución paga asignación estipendio ganancias jornal nómina soldada reembolso pago remuneracion retribucion pagar salarios
bn:00030616n	empleo ocupación trabajo profesión puesto_de_trabajo empleos puestos_de_trabajo relación_de_puestos_de_trabajo empleadores empleados emplear mano_de_obra_contratada personal vida_laboral
bn:00041979n	aumento crecimiento incremento crecida multiplicación
bn:00033854n	miedo temor pavor susto pavura espanto terror miedos temores canguelo
bn:00066419n	realidad
bn:00003129n	sustituto alterno sustituta suplente
bn:00049570n	clase_obrera proletariado clase_trabajadora trabajadores trabajo campesinos clases_trabajadoras clase_pobre clases_pobres cuarto_estado proletaria proletarias proletario clase_baja trabajadores_de_col_bleu trabajadores_de_cuello_azul working_class proletarios
bn:00023496n	oficio profesión artesanado trabajo_manual comercio artesanía
bn:00025916n	déficit escasez carencia deficiencia falta exceso_de_demanda penuria sobredemanda
bn:00041853n	entrenamiento formación enseñanza preparación adiestramiento capacitación entrenamiento_básico entrenamiento_basico entrenar
bn:00059122n	cirujano cirujana matasanos médico_cirujano medico_cirujano quirurgo zurujano cirujano_operar cirujanos
bn:00003755n	anestesista anestesiólogo anestesióloga anestesiador anestesiologa anestesiologo anestesistas anestesiólogos
bn:00021359n	complementariedad
bn:00005886n	arribo llegada venida
bn:00027862n	diversidad diversía multifariousness variedad
bn:00023652n	creación actividad_creativa
bn:00003343n	estadounidense americano norteamericano pueblo_estadounidense
bn:00057832n	premio_nobel nóbel premio_nóbel premios_nobel
bn:00079944n	vencedor ganador ganadora vencedora
bn:00041092n	google buscador_de_google buscador_web_de_google google_search www.google.es búsqueda_de_google google.com google.com.mx google.de google_búsqueda google_calc
bn:00081801n	yahoo yahoo! y! yahoo.com jerry's_guide_to_the_world_wide_web yahoo!_entertainment yahoo!_inc yahoo!_inc. yahoo!_news yahoo!_sports yahoo_com yahoo_espana yahoo_españa yahoo_noticias yahoo_podcasts
bn:00054906n	inmigrante emigrante
bn:00022274n	contribuyente suscriptor
bn:00072539n	estructura_social organización_social sistema_social organizacion_social estructuras_sociales la_estructura_social
bn:00013640n	presupuesto presupuesto_público credito_de_gasto_presupuestario crédito_de_gasto_presupuestario presupuestado presupuestar presupuestos asignación_presupuestaria
bn:00031903n	nación_europea país_europeo europa países_europeos
bn:00026684n	alemania deutschland república_federal_alemana alemania_occidental germany rfa republica_federal_de_alemania república_federal_de_alemania alemanas brd bundesrepublik_deutschland r.f.a. r_f.a. r_f_a r_f_a. republica_federal_alemana saksa schland teutona frg
bn:00001936n	edad envejecido envejecimiento envejecimiento_del_vino longevidad potencial_de_envejecimiento
bn:00022269n	contribución aportación participación
bn:00066490n	recibo ticket cheque_regalo justificante_de_pago recibí tiquete voucher recibos
bn:00032300n	gasto desembolso gastos egresos
bn:00051048n	vida toda_la_vida duración tiempo_de_vida
bn:00053151n	mandato delegacion delegación mandato_politico mandato_político
bn:00047730n	punto ítem entrada
bn:00013194n	libra_esterlina libra libras_esterlinas esterlina £ gbp gpb neet libras pound_sterling libra_británica libra_inglés libras_británicas
bn:00003340n	multa amercement dias_de_multa días_de_multa multa_coercitiva multa_pecuniaria multas
bn:00064527n	problema
bn:00037296n	tumulto estruendo garboil
bn:00017235n	director_ejecutivo presidente_ejecutivo gerente_general ceo chief_executive_officer consejero_delegado consejeros_delegados director_general director_gerente directora_ejecutiva jefe_ejecutivo primer_ejecutivo directores_ejecutivos gerenta director_de_operaciones jefe_de_operaciones
bn:00046575n	industria
bn:00060928n	pasado
bn:00021769n	disputa conflicto diferencia discusión querella repunta conflicto_interpersonal contencioso altercado conflictos confrontacion diferencia_de_opinión
bn:00008419n	bancarrota insolvencia_definitiva quiebra
bn:00023681n	cooperativa_de_ahorro_y_crédito cooperativa_de_crédito unión_crediticia asociación_de_crédito cooperativas_de_crédito cooperativa_de_ahorro_y_credito cooperativas_crédito cooperativas_de_credito cooperativas_credito sacco savings_and_credit_cooperative sociedad_cooperativa_de_ahorro_y_crédito unión_de_crédito
bn:00066938n	regulador
bn:00074684n	serie
bn:00064699n	promesa obligacion obligación antecontrato contrato_de_promesa contrato_preliminar precontrato promesa_juridica promesa_jurídica prometer
bn:00029680n	valor valor_económico valor_economico valor_monetario teoria_del_valor teorias_del_valor teoría_del_valor teorías_del_valor
bn:00060837n	parte parte_contratante litigante parte_interesada
bn:00041611n	nueva_york new_york_city new_york nova_york estado_de_nueva_york ciudad_de_nueva_york nyc capital_del_mundo centro_del_universo la_ciudad_tan_bonita_que_la_nombraron_dos_veces la_gran_manzana los_cinco_distritos ny_ciudad ciudad_de_new_york n_y neoyorkina neoyorquina neoyorquino new_york,_n.y. new_york,_n_y new_york,_n_y. new_york_city,_new_york new_york_city_new_york new_york_n.y. new_york_n_y new_york_n_y. nueva_yol nueva_york,_nueva_york nueva_york,_ny nueva_york_nueva_york nueva_york_ny nuevo_eborago nuevo_york transporte_en_la_ciudad_de_nueva_york greater_new_york
bn:00030605n	nueva_york estado_de_nueva_york new_york ny new_york,_united_states empire_state
bn:00011099n	culpabilidad culpable sentimiento_de_culpa culpabilizador culpableness reprochabilidad
bn:00070725n	avenencia resolución finiquito
bn:00017517n	presidenta presidente presidente_del_consejo_de_administración moderador convocante secretario_general chairperson chairman líder coordinador presidencia presidente_de_la_junta presidente_ejecutivo presidentes vice-presidente vicepresidente
bn:00067371n	
bn:00019763n	cliente receptor_de_un_servicio clientes
bn:00008382n	depósito_bancario depósito ingreso depósitos_bancarios
bn:00021329n	compensación indemnización
bn:00052050n	pérdida
bn:00000016n	billón
bn:00075151n	verano estío estación_de_verano estación_estival estación_veraniega estio estival veraniego veranos temporada_verano verano_austral
bn:00055949n	título_hipotecario respaldados_por_hipotecas_seguridad valores_respaldados_por_hipotecas
bn:00026603n	destino hado azar sino
bn:00070537n	septiembre setiembre sept sept. set set. 09 9 9.°_me mes_9. mes_nono mes_noveno nono_mes noveno_mes
bn:00081261n	
bn:00001193n	actus_reus mala_conducta maldad inconducta conducta_ilícita falta_grave
bn:00080687n	
bn:00019403n	reclamación
bn:00050659n	prestador prestamista
bn:00033638n	fannie_mae federal_national_mortgage_association fnma asociación_federal_nacional_hipotecaria
bn:00033911n	federal_home_loan_mortgage_corporation freddie_mac fhlmc corporación_federal_de_préstamos_hipotecarios_para_viviendas corporacion_federal_de_prestamos_hipotecarios corporacion_federal_de_préstamos_hipotecarios corporación_federal_de_prestamos_hipotecarios corporación_federal_de_préstamos_hipotecarios freddy_mac
bn:00055948n	hipoteca
bn:00025567n	transacción negociación trato
bn:00001134n	caso causa proceso acción_legal acción_en_la_ley
bn:00002178n	intención propósito objetivo intento finalidad intencionalidad meta objeto designio intenciones intencional
