bn:00041942n	组
bn:00075151n	夏季 夏 夏天 舊愛來作客 仲夏 盛夏 盛夏時節 真夏 南半球夏季 夏令
bn:00055949n	抵押支付证券 不動產抵押貸款證券 住房抵押貸款證券 住房抵押贷款支持证券 抵押貸款支持證券 抵押贷款担保证券 抵押贷款证券 抵押贷款支持证券
bn:00026603n	命運 命运 運勢 運命
bn:00070537n	九月 9月 9月份 09月 ㋈ 9月日
bn:00081261n	
bn:00001193n	不当行为 不法行为 严重行为不当 犯罪行为
bn:00080687n	挥手示意 挥手致意
bn:00019403n	
bn:00050659n	贷款人 出借人 貸款人
bn:00033638n	房利美 fannie_mae 联邦国民抵押贷款协会 fnma 房利美（fannie_mae） 美国联邦国民抵押贷款协会
bn:00033911n	房地美 联邦住房贷款抵押公司 freddie_mac 房貸美 聯邦住房抵押貸款公司 fhlmc 房地美（freddie_mac） 美国联邦住宅贷款抵押公司
bn:00055948n	抵押 抵押贷款 按揭 房貸 房贷 抵押貸款
bn:00025567n	交易 买卖 生意 处理 處理
bn:00001134n	诉讼 法律诉讼 起诉 在法律上的行动
bn:00002178n	意图 目的 意向 打算 目标 意圖 故意 有意
