bn:00041942n	nhóm
bn:00037691n	generousness
bn:00030707n	
bn:00072653n	
bn:00044758n	đạo_quân loạt
bn:00062576n	thợ_sửa_ống_nước thợ_sữa_ống_nước thợ_ống_nước thợ_ống_nước ống_lọc_dầu ống_fitter
bn:00046019n	dân_nhập_cư nhập_cư người_nhập_cư
bn:00072566n	xã_hội xã_hội_loài_người
bn:00008267n	cliché sáo_ngữ cliche clichéd câu_sáo cụm_từ_chứng_khoán phổ_biến sáo_rỗng thường_tình vô_vị
bn:00009717n	cảm_giác ấn
bn:00006504n	tài_sản
bn:00029667n	nhà_kinh_tế_học nhà_kinh_tế chuyên_gia_kinh_tế kinh_tế
bn:00012059n	sách cuốn_sách
bn:00020452n	nhận_thức tri_thức kiến_thức noesis chức_năng_nhận_thức khả_năng_nhận_thức quá_trình_nhận_thức sự_liên_quan thức xử_lý_nhận_thức
bn:00054907n	di_dân di_cư dân_di_cư
bn:00028141n	thế_giới
bn:00036941n	tương_lai mai_mốt thời_gian_tới
bn:00073206n	nhà_chuyên_môn chuyên_gia specialiser specializer
bn:00035374n	
bn:00029416n	lương tiền_công cát-xê cát_xê cat-xê cát-sê tiền_lương chi_phí_lao_động mức_lương trả
bn:00030616n	việc_làm sử_dụng_lao_động công_ăn_việc_làm cuộc_đời_làm_việc hợp_đồng_lao_động lao_động_hợp_đồng người_sử_dụng_lao_động nhân_viên sử_dụng thuê
bn:00041979n	tăng
bn:00033854n	sợ sự_khiếp_đảm sự_sợ_hãi sợ_hãi nỗi_sợ kinh_khủng
bn:00066419n	
bn:00003129n	luân_phiên
bn:00049570n	giai_cấp_công_nhân giai_cấp_vô_sản vô_sản tầng_lớp_lao_động giai_cấp_vô_sản lao_động
bn:00023496n	thủ_công thủ_công_nghiệp thương_mại hàng_thủ_công
bn:00025916n	excess_dmand sự_thâm_hụt thiếu_hụt sự_thiếu_hụt
bn:00041853n	đào_tạo
bn:00059122n	bác_sĩ_phẫu_thuật bác_sỹ_phẫu_thuật hoạt_động_bác_sĩ_phẫu_thuật xương_cá
bn:00003755n	bác_sĩ_gây_mê anaesthesiologist gây_mê người_bị_mất_cam_giác
bn:00021359n	
bn:00005886n	
bn:00027862n	diverseness multifariousness đa_dạng
bn:00023652n	sáng_tạo_hoạt_động tạo_ra
bn:00003343n	người_mỹ người_hoa_kỳ người_mĩ mỹ
bn:00057832n	giải_nobel giải_thưởng_nobel giải_nô-ben giải_nô_ben giải_nôben giải_thưởng_nôben nobelpriset
bn:00079944n	người_chiến_thắng
bn:00041092n	google_tìm_kiếm google_search google.com.vn google
bn:00081801n	yahoo! yahoo tập_đoàn_yahoo! yahoo.com yahoo!,_inc yahoo!,_inc. yahoo!_developer_network yahoo!_inc yahoo!_inc.
bn:00054906n	di_cư
bn:00022274n	
bn:00072539n	tổ_chức_xã_hội cơ_cấu_xã_hội cấu_trúc_xã_hội xã_hội_hệ_thống
bn:00013640n	ngân_sách ngân_quỹ
bn:00031903n	châu_âu_quốc_gia nước_châu_âu
bn:00026684n	đức cộng_hòa_liên_bang_đức de chlb_đức ger brd cộng_hoà_liên_bang_đức cộng_hòa_liên_bang_ðức germany đức_quốc deutschland
bn:00001936n	tuổi lão_hóa lão_hóa_của_rượu_vang tiềm_năng_lão_hóa
bn:00022269n	đóng_góp
bn:00066490n	biên_lai nhận
bn:00032300n	chi_tiêu ra_ngoài
bn:00051048n	cuộc_sống cuộc_sống_thời_gian tuổi_thọ đời
bn:00053151n	nhiệm_vụ
bn:00047730n	mục
bn:00013194n	bảng_anh bảng £ pound_sterling anh_kim gbp đồng_bảng_anh sterling
bn:00003340n	tiền_bồi_thường tiền_phạt bị_phạt khấu tốt
bn:00064527n	vấn_đề
bn:00037296n	garboil tumultuousness
bn:00017235n	giám_đốc_điều_hành tổng_giám_đốc_điều_hành tổng_giám_đốc giám_đốc ceo tgđ tgđđh chief_executive_officer giám_đốc_quản_lý
bn:00046575n	ngành_công_nghiệp
bn:00060928n	quá_khứ
bn:00021769n	xung_đột sự_khác_biệt_về_quan_điểm
bn:00008419n	
bn:00023681n	tổ_chức_tín_dụng công_đoàn_tín_dụng
bn:00066938n	
bn:00074684n	
bn:00064699n	lời_hứa
bn:00029680n	giá_trị_kinh_tế giá_trị
bn:00060837n	bên
bn:00041611n	thành_phố_new_york new_york niu_oóc nữu_ước thành_phố_niu_oóc thành_phố_nữu_ước new_york_city nyc city_of_new_york new_york,_new_york new_york,_ny new_york_city,_new_york niu_yooc niu_yoóc thành_phố_new_york,_new_york thành_phố_tân_york tân_york greater_new_york
bn:00030605n	new_york nữu_ước tiểu_bang_new_york tiểu_bang_nữu_ước ny niu_oóc bang_new_york bang_niu_yooc new_york_state state_of_new_york tiểu_bang_niu_oóc tiểu_bang_niu_yooc empire_state
bn:00011099n	blameworthiness culpableness phạm_tội
bn:00070725n	
bn:00017517n	chủ_tịch chủ_tịch_hội_đồng_quản_trị chủ_tịch_nước chủ_tịch_đàn_bà chủ_tịch_điều_hành phó_chủ_tịch sự triệu_tập
bn:00067371n	
bn:00019763n	khách_hàng người_khách
bn:00008382n	ký_quỹ tiền_gửi_ngân_hàng
bn:00021329n	bồi_thường
bn:00052050n	mất_mát
bn:00000016n	
bn:00075151n	mùa_hạ mùa_hè hè hè_phương_nam thời_gian_hè
bn:00055949n	an_ninh_thế_chấp chứng_khoán_thế_chấp chứng_khoán_thế_chấp_hậu_thuẫn
bn:00026603n	định_mệnh destimy phận
bn:00070537n	tháng_chín tháng_9 thg9 31_tháng_9 tháng_09
bn:00081261n	
bn:00001193n	actus_reus hành_vi_sai_trái sai_trái_tiến_hành
bn:00080687n	
bn:00019403n	
bn:00050659n	cho_vay vay
bn:00033638n	fannie_mae federal_national_mortgage_association fnma hiệp_hội_thế_chấp_quốc_gia_liên_bang liên_bang_hiệp_hội_thế_chấp_quốc_gia
bn:00033911n	freddie_mac federal_home_loan_mortgage_corporation fhlmc liên_bang_home_loan_mortgage_corporation
bn:00055948n	quyền_cầm_cố thế_chấp
bn:00025567n	giao_dịch
bn:00001134n	hành_động_pháp_lý hành_động_theo_pháp_luật
bn:00002178n	ý_định cố_ý mục_đích
